Date,Airline,Number,From,To,Miles
8/28/10,DELTA,???,PVG,MSP,
8/28/10,DELTA,???,MSP,AZO,
11/23/10,AIRTRAN,586,GRR,BWI,
11/27/10,DELTA,1437,BWI,DTW,
11/27/10,DELTA,6606,DTW,AZO,
12/21/10,AIRTRAN,1184,GRR,TPA,
1/8/11,AIRTRAN,950,FLL,BWI,
1/8/11,AIRTRAN,583,BWI,GRR,
2/25/11,ALASKA,1158,ORD,SFO,
3/2/11,ALASKA,303,SFO,SEA,
3/6/11,ALASKA,22,SEA,ORD,
7/18/11,???,???,ORD,DEN,
7/28/11,???,???,LAX,ORD,
7/31/11,UNITED,835,ORD,PVG,
8/29/11,UNITED,878,PVG,LAX,
8/29/11,UNITED,6282,LAX,ORD,
12/23/11,AMERICAN,5040,AZO,ORD,
12/23/11,AMERICAN,54,ORD,MAN,
1/4/12,RYANAIR,227,STN,DUB,
1/6/12,AER LINGUS,152,DUB,LHR,
1/6/12,AMERICAN,87,LHR,ORD,
1/6/12,AMERICAN,5028,ORD,AZO,
5/10/12,UNITED,3920,BUF,IAD,
5/10/12,UNITED,3772,IAD,MIA,
5/19/12,UNITED,3786,MIA,ORD,
5/19/12,UNITED,3618,ORD,BZN,
5/26/12,UNITED,3622,BZN,ORD,
5/26/12,UNITED,3680,ORD,GRR,
5/31/12,UNITED,881,ORD,NRT,
6/1/12,NH,921,NRT,PVG,
8/2/12,AIR CANADA,88,PVG,YYZ,
8/3/12,AIR CANADA,7380,YYZ,GRR,
10/4/12,AMERICAN,3974,BNA,ORD,
10/7/12,AMERICAN,3950,ORD,BNA,
1/25/13,AMERICAN,4395,BNA,ORD,
2/8/13,AMERICAN,4394,BNA,ORD,
2/10/13,AMERICAN,3950,ORD,BNA,
2/18/13,UNITED,6027,BNA,ORD,
3/1/13,AMERICAN,3925,BNA,ORD,
3/1/13,AMERICAN,1711,ORD,SFO,
3/2/13,UNITED,663,SFO,HNL,
3/5/13,MOKULELE,1784,HNL,JHM,
3/8/13,MOKULELE,1781,JHM,HNL,
3/9/13,UNITED,52,HNL,SFO,
3/9/13,UNITED,396,SFO,ORD,
3/10/13,AMERICAN,1494,ORD,BNA,
3/11/13,SOUTHWEST,165,BNA,MDW,
3/12/13,SOUTHWEST,892,MDW,BNA,
4/28/13,AMERICAN,5040,AZO,ORD,
4/28/13,AMERICAN,4163,ORD,BNA,
6/21/13,AMERICAN,3355,BNA,LGA,
6/23/13,AMERICAN,3660,LGA,BNA,
8/16/13,AMERICAN,2924,BNA,ORD,
8/16/13,AMERICAN,3664,ORD,AZO,
8/17/13,AMERICAN,5040,AZO,ORD,
8/17/13,AMERICAN,2910,ORD,BNA,
10/9/13,AMERICAN,3163,BNA,ORD,
10/9/13,AMERICAN,5346,ORD,AZO,
10/13/13,AMERICAN,2817,ORD,BNA,
10/13/13,AMERICAN,3027,AZO,ORD,
11/22/13,UNITED,3490,BNA,IAD,
11/22/13,UNITED,3353,IAD,GRR,
11/24/13,UNITED,6057,ORD,BNA,
11/24/13,AMERICAN,5338,AZO,ORD,
12/15/13,UNITED,6056,BNA,ORD,
12/15/13,NH,11,ORD,NRT,
12/16/13,NH,921,NRT,PVG,
1/2/14,AMERICAN,288,PVG,ORD,
1/2/14,AMERICAN,3680,ORD,AZO,
1/7/14,SOUTHWEST,1087,MDW,BNA,
3/1/14,AMERICAN,2914,BNA,ORD,
3/1/14,ALASKA,21,ORD,SEA,
3/1/14,ALASKA,125,SEA,FAI,
3/7/14,ALASKA,128,FAI,SEA,
3/7/14,ALASKA,28,SEA,ORD,
3/7/14,AA,2951,ORD,BNA,
3/14/14,AMERICAN,3461,BNA,LGA,
3/28/14,SOUTHWEST,1113,BNA,MDW,
3/30/14,SOUTHWEST,671,MDW,BNA,
4/29/14,AMERICAN,4285,BNA,ORD,
5/3/14,AMERICAN,3131,ORD,BNA,
6/23/14,AMERICAN,3280,BNA,MIA,
6/23/14,AMERICAN,929,MIA,GRU,
6/25/14,G3,1412,CGH,BSB,
7/1/14,G3,1407,BSB,CGH,
7/2/14,AMERICAN,962,GRU,DFW,
7/3/14,AMERICAN,1183,DFW,BNA,
7/29/14,UNITED,6175,BNA,ORD,
7/29/14,UNITED,835,ORD,PVG,
8/2/14,TG,663,PVG,BKK,
8/2/14,SQ,977,BKK,SIN,
8/2/14,SQ,452,SIN,MLE,
8/9/14,SQ,451,MLE,SIN,
8/10/14,AIR CHINA,976,SIN,PEK,
8/14/14,LUFTHANSA,???,PEK,FRA,
8/14/14,LUFTHANSA,???,FRA,LGA,
8/15/14,SOUTHWEST,2954,LGA,BNA,
9/27/14,AMERICAN,2778,BNA,ORD,
9/27/14,AMERICAN,3642,ORD,AZO,
9/30/14,AMERICAN,3538,AZO,ORD,
9/30/14,AMERICAN,4337,ORD,BNA,
10/16/14,SOUTHWEST,706,ATL,MDW,
10/19/14,SOUTHWEST,5595,MDW,ATL,
